Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email 
Гайденко,Аарон,,Чоловік,1939-05-03,Географ,хутір Новомиргород,"вулиця Дігтярна, буд. 2, Дружба , 30805",+380 05 887-89-37,ctovstukha@example.org
Абрагамовська,Володимир,,Чоловік,1955-06-18,Гицель,місто Хирів,"шосе Мельницька, буд. 164 кв. 65, Радивилів, 79122",012 903-31-41,bprotsenko@example.net
Вовк,Герман,,Чоловік,1942-11-25,Доцент,селище Зеленодольськ,"узвіз Будівельна, буд. 7 кв. 775, Прип'ять , 04005",094 907-15-45,tetianahrechanyk@example.org
Дубенко,Хома,,Чоловік,1990-03-26,Клоун,село Бахчисарай,"вулиця Лінія 24-та, буд. 442, Нова Каховка, 69809",+380 56 869 88 12,milenavysochan@example.net
Черінько,Станіслав,,Чоловік,1962-06-27,Перекладач,селище Балаклія,"шосе Ковалевського узвіз, буд. 4, Добропілля, 88708",006 476 00 70,amaliiabatiuk@example.net
Гупало,Арсен,,Чоловік,1976-11-08,Фармацевт,село Дніпро ,"провулок Колекційна, буд. 12, Полтава, 12268",+380 87 482-97-57,adambezditko@example.org
Швачко,Опанас,,Чоловік,1942-01-10,Патологоанатом,місто Бар,"сквер Спиридонівська, буд. 9 кв. 82, Макіївка, 72125",881 91 20,ikybkalo@example.com
Жаліло,Хома,,Чоловік,1998-09-09,Режисер,місто Рогатин,"парк Студентський 1-й, буд. 634, Верхівцеве, 80402",+380 44 262-62-82,hennadiitaran@example.net
Гаврюшенко,Єфрем,,Чоловік,1999-04-09,Прокурор,селище Амвросіївка,"шосе Деревообробний 4-й, буд. 71, Полонне, 58046",+380 (28) 120-88-97,deriazhnyistepan@example.com
Сацюк,Миколай,,Чоловік,2001-12-16,Ґрунтознавець,хутір Рожище,"набережна Бугаївська, буд. 4, Ланівці, 90261",654-70-33,wpushkar@example.com
Дрозд,Борис,,Чоловік,1947-12-25,Бібліотекар,місто Бобринець,"парк Івана Франка, буд. 39 кв. 7, Гребінка, 25744",+380 04 776-84-68,andriishynzlatoslava@example.org
Бгиденко,Федір,,Чоловік,1945-02-25,Музикознавець,село Пологи ,"вулиця Черкаська, буд. 4 кв. 231, Боково-Хрустальне, 61442",+380 30 442-30-26,violetta47@example.org
Євтушенко,Давид,,Чоловік,1951-03-15,Музикант,хутір Ізяслав,"узвіз Восьмого березня 1-й, буд. 034, Авдіївка, 39186",+380 89 106-61-05,yperepelytsia@example.com
Вдовенко,Арсен,,Чоловік,2002-07-05,Дантист,хутір Кам'янка (Черкаська область),"узвіз Просвіти, буд. 9, Бахчисарай, 84148",009 291-12-35,boryssirchenko@example.org
Яценюк,Хома,,Чоловік,1967-04-05,Кінолог,місто Косів,"сквер Стахановський 4-й, буд. 29 кв. 766, Кам'янка (Черкаська область), 21311",093 337 46 51,sofiiaabramenko@example.org
Корбут,Микита,,Чоловік,1994-11-23,Доцент,село Барвінкове,"шосе Лінія 39-та, буд. 2 кв. 1, Петрово-Красносілля, 49022",+380 15 468-42-44,valerii39@example.org
Ажажа,Пантелеймон,,Чоловік,2005-10-09,Реставратор,село Павлоград,"шосе Героїв оборони Одеси, буд. 90 кв. 8, Чорноморськ, 70369",+380 92 186 04 29,rshovkoplias@example.org
Атаманюк,Арсен,,Чоловік,1957-06-27,Драматург,місто Бахмач,"парк Штурвальна, буд. 3, Коростень, 30331",081 465 71 57,drozdherman@example.org
Ткач,Альберт,,Чоловік,1958-09-28,Випробувач,хутір Батурин,"парк Нескучна, буд. 85, Кальміуське, 68518",931 62 23,onysym70@example.net
Заруба,Стефан,,Чоловік,1987-04-24,Прокурор,село Херсон,"вулиця Кощового отамана, буд. 74 кв. 0, Соледар, 77721",+380 08 418-16-40,ihnat32@example.org
Ємельяненко,Петро,,Чоловік,1978-07-09,Фізик,хутір Нетішин,"провулок Маловського, буд. 01 кв. 802, Стебник, 88123",+380 70 454-50-38,yhuk@example.org
Яценко,Теодор,,Чоловік,1996-07-05,Електромонтер,місто Жидачів,"площа Сабанєєв, буд. 488 кв. 5, Татарбунари, 15439",329 82 38,borys13@example.net
Гузій,Богдан,,Чоловік,1958-05-17,Дерун,селище Вилкове,"вулиця Бузковий 2-й, буд. 2 кв. 927, Шаргород, 57189",+380 67 716-96-26,lemeshkoazar@example.org
Габелко,Левко,,Чоловік,1950-05-07,Редактор,хутір Старобільськ,"сквер Бузковий 2-й, буд. 6 кв. 42, Мар'їнка, 29676",+380 35 715 54 03,shynkarenkozorian@example.com
Артимишин,Вʼячеслав,,Чоловік,1948-03-22,Публіцист,хутір Новомосковськ,"набережна Михайла Грушевського, буд. 64, Мена , 40387",057 382-13-25,orysia73@example.com
Іваничук,Гаврило,,Чоловік,1950-03-25,Фармацевт,село Фастів,"сквер Водопровідний 2-й, буд. 2 кв. 011, Білгород-Дністровський, 01571",+380 90 241-42-49,roksolanairvanets@example.net
Безбородько,Артем,,Чоловік,1944-12-22,Бізнесмен,місто Хрестівка,"узвіз Леха Качинського, буд. 668 кв. 114, Старий Крим, 77102",067 398-87-31,edzhus@example.org
Тичина,Георгій,,Чоловік,2006-09-10,Візажист,місто Городенка,"площа Східчастий 3-й, буд. 609, Костопіль, 99409",+380 05 903-39-50,stefanbatih@example.net
Аврамчук,Мирослав,,Чоловік,1964-04-26,Клоун,село Тисмениця,"проспект Книжковий, буд. 7, Ладижин, 40241",045 977-34-45,viktoriiarebryk@example.net
Шевченко,Георгій,,Чоловік,1968-08-08,Золотар,місто Дружківка,"набережна 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 209, Амвросіївка, 24785",060 785 47 92,demian75@example.com
Корсун,Михайло,,Чоловік,1985-12-23,Соціолог,місто Рудки,"шосе Іспанська, буд. 3, Верхівцеве, 61867",+380 38 966-61-22,ruslan78@example.com
Чубай,Левко,,Чоловік,1964-06-21,Актор,місто Красноперекопськ,"провулок Канатна, буд. 52 кв. 1, Кремінна, 49889",+380 33 467 29 93,halynavashchuk@example.net
Мазур,Владислав,,Чоловік,1980-07-21,Електротехнік,селище Ромни,"набережна Лобачевського, буд. 70 кв. 3, Красилів, 35734",805 71 90,spas26@example.net
Охріменко,Петро,,Чоловік,1992-11-07,Редактор,селище Старий Крим,"провулок Привозна, буд. 1, Біла Церква, 04246",+380 (96) 559-36-43,goliashillia@example.org
Ґерус,Омелян,,Чоловік,1981-05-24,Пекар,місто Мар'їнка,"провулок Восьмого березня 1-й, буд. 2 кв. 8, Мар'їнка, 14054",+380 (81) 751-98-25,odarka13@example.net
Комар,Вадим,,Чоловік,1951-04-19,Епідеміолог,село Вижниця,"парк Пересипська 9-та, буд. 13, Перечин, 78188",+380 (14) 108-71-68,whaidabura@example.net
Чорновіл,Алевтин,,Чоловік,1981-03-18,Різноробочий,село Львів,"сквер Віцеадмірала Азарова, буд. 0, Галич, 43197",464 96 54,stepan31@example.org
Масоха,Онисим,,Чоловік,1958-04-18,Мовознавець,селище Дергачі,"узвіз Чайковського, буд. 70, Ірміно, 55577",113 45 84,mievtushenko@example.org
Вітрук,Кирило,,Чоловік,1967-11-21,Акушер,місто Світловодськ,"сквер Іспанський, буд. 673, Деражня, 26319",622-28-53,lemeshkoliza@example.net
Онищенко,Григорій,,Чоловік,1945-02-07,Візажист,місто Білопілля,"проспект Слави, буд. 387 кв. 020, Ізюм, 79838",649 37 85,umanetspanas@example.org
Бевз,Геннадій,,Чоловік,1958-09-11,Кінолог,селище Кагарлик,"вулиця Івасюка Володимира, буд. 18 кв. 87, Горохів, 99954",055 373-86-11,demianenkoleontii@example.net
Ємець,Ігнат,,Чоловік,1982-10-15,Редактор,селище Носівка,"шосе Картамишевський, буд. 85, Лохвиця, 17535",+380 84 852 13 46,hprotsenko@example.org
Лаба,Лукʼян,,Чоловік,1962-10-18,Футболіст,село Дружба ,"вулиця Новаторів, буд. 39, Зимогір'я, 61277",010 713 09 38,mkylymnyk@example.net
Оліфіренко,Максим,,Чоловік,1962-07-23,Хореограф,місто Одеса,"набережна Дачна, буд. 19 кв. 09, Алупка, 18486",267-34-64,sieromenko@example.net
Жученко,Олег,,Чоловік,1943-06-26,Професор,хутір Єнакієве,"провулок Амбулаторний 2-й, буд. 59 кв. 034, Заводське, 96767",096 096-35-23,lkhmara@example.org
Овчаренко,Веніямин,,Чоловік,1987-12-07,Складальник,місто Дніпрорудне,"шосе Вознесенський, буд. 3, Ялта, 05949",+380 54 236 53 02,oleksa76@example.org
Удовенко,Хома,,Чоловік,1979-04-17,Няня,хутір Вознесенськ,"шосе Марата 1-й, буд. 932, Бучач, 97877",038-73-82,gduplii@example.com
Захаренко,Іван,,Чоловік,2001-09-26,Локсмайстер,селище Новодністровськ,"шосе Березовий, буд. 074, Черкаси, 26855",+380 05 764-47-83,mykhailyna77@example.org
Байрак,Антон,,Чоловік,1954-01-21,Ріелтор,місто Кодима,"узвіз Крилова, буд. 81 кв. 41, Лозова , 68208",+380 (71) 966-97-14,hupalosymon@example.com
Михайлюк,Геннадій,,Чоловік,1978-08-09,Епідеміолог,хутір Мар'їнка,"провулок Ланжеронівський узвіз, буд. 1 кв. 74, Кременець, 70666",+380 (63) 200-03-64,iarema85@example.com
Бевзенко,Миколай,,Чоловік,1944-08-29,Педагог,хутір Київ,"вулиця Терещенка Володимира, буд. 85 кв. 356, Снятин, 80841",373-35-80,irena00@example.net
Дробʼязко,Юстим,,Чоловік,1987-06-10,Науковець,хутір Дунаївці,"сквер Сергія Ядова, буд. 1 кв. 53, Володимир-Волинський, 04965",+380 92 800 65 01,shapovalvioletta@example.net
Токар,Пармен,,Чоловік,1995-06-12,Патологоанатом,селище Гірське,"узвіз Василя Кандинського 1-й, буд. 232, Покровськ, 96603",+380 11 481-99-44,okhrim84@example.org
Аврамчук,Варфоломій,,Чоловік,1999-11-14,Математик,село Кременчук,"площа Академіка Корольова, буд. 9, Географія Вільнянська, 84499",+380 41 069 36 28,wdanylenko@example.org
Скиба,Роман,,Чоловік,1978-03-20,Електротехнік,місто Радивилів,"парк Балтський 6-й, буд. 67 кв. 34, Заводське, 78648",044 734-85-71,lmykhailiuk@example.net
Гайденко,Симон,,Чоловік,1975-04-13,Співак,селище Виноградів,"узвіз Нікітіна, буд. 721 кв. 3, Пологи , 26737",+380 30 067 82 76,emiliia86@example.com
Забіла,Борислав,,Чоловік,1945-09-19,Режисер,місто Тальне,"набережна Паркова, буд. 195 кв. 2, Здолбунів, 84044",040 846 27 04,pkhomyk@example.net
Сімашкевич,Андрій,,Чоловік,1980-07-20,Перекладач,місто Тиврів,"шосе Партизанська, буд. 6, Ізяслав, 61834",+380 (04) 955-76-65,lfilipenko@example.com
Ребрик,Володимир,,Чоловік,1942-02-01,Електротехнік,хутір Вугледар,"площа Садова 5-та, буд. 8, Яворів, 39168",+380 56 017 46 73,kyryloandriiovych@example.net
Єрьоменко,Сергій,,Чоловік,1970-12-18,Драматург,селище Решетилівка,"шосе Ширяївський, буд. 137, Долинська, 98706",+380 21 785-20-54,lkonoplia@example.org
Рябошапка,Онисим,,Чоловік,1960-01-31,Реабілітолог,селище Овруч,"площа Лінія 52-га, буд. 725, Боярка, 98033",013 151-64-87,olha42@example.com
Ващук,Семен,,Чоловік,1954-12-21,Паблік рилейшнз,селище Заставна,"узвіз Онілової, буд. 353, Красилів, 28522",+380 (99) 405-77-50,konoplenkotetiana@example.com
Єрошенко,Гліб,,Чоловік,1961-05-15,Фермер,хутір Гребінка,"площа Горбатий міст, буд. 3, Люботин, 05273",002 310 04 76,nzhurba@example.org
Хмара,Йосип,,Чоловік,1955-03-24,Кінолог,хутір Чуднів,"проспект Траса Здоров'я, буд. 7 кв. 2, Горохів, 56936",+380 53 155 57 39,arkhypenkosvitlana@example.org
Андрієвич,Тимофій,,Чоловік,1956-05-03,Математик,селище Богуслав,"шосе Бодаревського, буд. 51 кв. 24, Дергачі, 61846",336-22-49,marusia64@example.org
Шовкопляс,Хома,,Чоловік,1998-04-01,Пілот,хутір Золочів,"парк Тепла, буд. 20 кв. 9, Моршин, 05701",+380 (41) 426-62-69,andrii38@example.org
Василечко,Хома,,Чоловік,1996-12-24,Хімік,селище Бобровиця,"шосе Корнюшина, буд. 1 кв. 4, Новий Розділ, 53176",+380 (20) 758-06-85,dsliusar@example.com
Талан,Богдан,,Чоловік,1986-11-22,Перекладач,місто Ворожба,"провулок Леха Качинського, буд. 9, Підгородне, 70619",+380 06 568-39-55,bazavluchenkosolomiia@example.org
Хомик,Пилип,,Чоловік,1971-10-01,Агроном,село Кобеляки,"шосе Восьмого березня 7-й, буд. 625, Корець, 17684",071 306-76-98,achalenko@example.com
Демʼянюк,Валерій,,Чоловік,1966-03-19,Єгер,селище Рогатин,"парк Остапа Вишні, буд. 167 кв. 5, Турка, 90592",069 180 19 93,tnosenko@example.org
Оніщук,Святослав,,Чоловік,1981-08-16,Драматург,селище Суходільськ,"шосе Лютеранський, буд. 935, Мена , 35452",+380 32 531-51-48,bezborodkosnizhana@example.net
Колісниченко,Гліб,,Чоловік,1971-12-03,Менеджер,місто Хотин,"вулиця Зоопаркова, буд. 4, Узин, 52822",723-76-32,ihorzaruba@example.org
Влох,Олекса,,Чоловік,1962-08-22,Менеджер,село Кам'янка (Черкаська область),"набережна Юрія Яновського, буд. 66 кв. 251, Немирів, 30872",640 01 35,shcherbakamaliia@example.net
Козак,Роман,,Чоловік,1960-03-12,Геолог,селище Чорнобиль,"набережна Міхновського Миколи, буд. 44, Сорокине, 72054",769-13-93,dzakusylo@example.com
Матвієнко,Прохір,,Чоловік,1955-01-03,Каскадер,хутір Підгайці,"шосе Яружний, буд. 9, Переяслав, 63629",+380 63 818 06 17,symonandrusenko@example.org
Яковенко,Леонід,,Чоловік,1977-06-21,Кухар,хутір Вільнянськ,"набережна Клинова, буд. 817 кв. 401, Хуст, 17645",399 36 19,fedir69@example.org
Тимченко,Йосип,,Чоловік,1964-05-20,Музичний редактор,хутір Єнакієве,"вулиця Центральний аеропорт, буд. 4 кв. 6, Бахмач, 37431",+380 70 792-87-34,mariia71@example.net
Заруба,Віктор,,Чоловік,2005-01-27,Маркетолог,місто Рубіжне,"набережна Естонська, буд. 35, Моспине, 64919",+380 18 029-53-48,tesliamykyta@example.net
Дараган,Пармен,,Чоловік,1987-07-16,Електромонтажник,хутір Бобринець,"вулиця Аеродромний 3-й, буд. 13 кв. 607, Сарни, 94196",+380 37 779-45-20,oryna40@example.org
Килимник,Орест,,Чоловік,1954-06-16,Круп'є,місто Щолкіне,"сквер Мічуріна, буд. 02, Апостолове, 02213",035 523-87-04,cherednykspas@example.net
Свириденко,Зиновій,,Чоловік,1958-04-21,Музикант,хутір Подільськ,"набережна Куяльницький міст, буд. 817, Рава-Руська, 59753",+380 90 591-52-18,emiliialesyk@example.com
Павлик,Тарас,,Чоловік,1985-02-15,Астронавт,селище Довжанськ,"вулиця Прорізна, буд. 091, Новояворівськ, 88057",414-86-57,stepanromanchuk@example.com
Туркало,Руслан,,Чоловік,1939-03-20,Науковець,місто Гайсин,"набережна Дачна, буд. 095, Олександрівськ, 89487",+380 94 391-49-76,ivan40@example.org
Корсун,Мирон,,Чоловік,1958-01-03,Економіст,місто Корюківка,"сквер Хлібна гавань, буд. 5 кв. 216, Конотоп, 93413",+380 95 063 23 83,taras44@example.net
Цюпа,Хома,,Чоловік,1978-04-13,Шериф,селище Благовіщенське,"площа Сурикова 2-й, буд. 713, Городище , 50491",217 28 49,ubabychenko@example.com
Юхименко,Климент,,Чоловік,1969-02-23,Менеджер,місто Щастя ,"площа Газова, буд. 30, Київ, 22809",782 78 68,jchekaliuk@example.org
Корпанюк,Йосип,,Чоловік,1942-06-27,Пекар,місто Таврійськ,"площа Водопровідний 1-й, буд. 458 кв. 577, Комарно, 93220",+380 91 808-36-28,aatamanchuk@example.net
Негода,Опанас,,Чоловік,1973-10-31,Детектив,місто Борислав,"сквер Привокзальний, буд. 237, Довжанськ, 03132",+380 12 872 76 52,havrylobabych@example.net
Шахрай,Микита,,Чоловік,1998-06-25,Астронавт,село Татарбунари,"проспект Сирітський 2-й, буд. 42, Красногорівка, 78587",+380 51 024-06-51,solomiia68@example.net
Тарасенко,Мартин,,Чоловік,1975-04-15,Кінолог,місто Добропілля,"узвіз Аеропортівський 5-й, буд. 6 кв. 79, Сквира, 08536",557 41 09,les39@example.org
Барабаш,Мартин,,Чоловік,1938-02-28,Футболіст,хутір Мостиська,"сквер Книжковий, буд. 00, Старокостянтинів, 54194",045 50 14,mtovstolis@example.com
Шиян,Венедикт,,Чоловік,1966-10-31,Бізнесмен,місто Хрустальний,"вулиця Леваневського, буд. 48, Красноград, 53186",981 95 34,onysym97@example.com
Лемешко,Теодор,,Чоловік,1986-06-02,Етнограф,хутір Першотравенськ,"шосе Північний, буд. 797 кв. 73, Конотоп, 43803",+380 98 167-45-24,xokhrymovych@example.org
Ємець,Трохим,,Чоловік,1943-04-07,Різноробочий,село Глухів,"набережна Штурманська, буд. 12, Городок, 63679",066 768 65 31,levko27@example.com
Юрченко,Олесь,,Чоловік,1954-12-29,Фрілансер,хутір Довжанськ,"вулиця Андрійця Олега, буд. 547 кв. 54, Шепетівка, 86191",044 454-70-48,leonmoskal@example.com
Притула,Юстим,,Чоловік,1993-01-18,Геолог,село Тернопіль,"провулок Докова, буд. 655, Бережани, 65682",172 23 45,ielysei06@example.org
Цюпа,Азар,,Чоловік,1944-08-02,Актор,село Роздільна,"узвіз Лучиста, буд. 119 кв. 07, Підгайці, 19479",844-48-19,iurchenkoleontii@example.net
Данчук,Семен,,Чоловік,1995-07-18,Професор,місто Баранівка,"парк Достоєвського, буд. 9 кв. 49, Новогродівка, 61909",700-48-20,iurchyshynaavrelii@example.net
Данькевич,Леонтій,,Чоловік,1943-08-22,Геофізик,хутір Голубівка,"провулок Матеріальний 1-й, буд. 7 кв. 49, Подільськ, 85446",054 395 05 68,bbezditko@example.com
Сацюк,Гліб,,Чоловік,1960-01-06,Психолог,місто Ковель,"площа Івана Вазова, буд. 564 кв. 79, Рожище, 32628",054 563-36-60,myroslavromanchuk@example.org
Вернигора,Костянтин,,Чоловік,1962-11-25,Клавішник,хутір Скалат,"проспект Березова, буд. 8, Буськ, 79439",+380 96 963-92-35,opanasvlasenko@example.org
Верхола,Олесь,,Чоловік,1940-03-09,Євнух,селище Черкаси,"провулок Лучиста, буд. 872 кв. 71, Пологи , 32606",+380 16 431-29-26,kanivetsokseniia@example.org
Фастенко,Захар,,Чоловік,1992-12-15,Модельєр,селище Географія Вільнянська,"парк Корнюшина, буд. 2, Ровеньки, 18187",062 006 74 39,vadym65@example.com
Михайличенко,Яків,,Чоловік,1941-01-20,Кушнір,хутір Снігурівка,"узвіз Суднобудівна, буд. 36 кв. 18, Теплодар, 71672",+380 21 072 36 94,irena62@example.net
Ткач,Адам,,Чоловік,1938-09-24,Мінералог,місто Верхівцеве,"парк Канатна, буд. 370, Борислав, 35473",570-78-67,artiushenkovioletta@example.com
Гаврилів,Мирослав,,Чоловік,1991-12-29,Хореограф,хутір Мукачево,"узвіз Центральний аеропорт, буд. 646 кв. 9, Рені, 40839",+380 49 808-25-13,vladyslav84@example.org
Панчук,Арсен,,Чоловік,1947-09-28,Актор,село Ічня,"сквер Сергія Уточкіна, буд. 173 кв. 690, Роздільна, 21226",+380 33 974 48 23,havrylo48@example.com
Верменич,Костянтин,,Чоловік,1950-11-07,Бібліограф,місто Новодністровськ,"проспект Чорноморський 1-й, буд. 72, Горлівка, 71105",303-46-06,tymofiidrozd@example.org
Макаренко,Орест,,Чоловік,1999-09-25,Адвокат,село Залізне,"узвіз Пересипський 1-й, буд. 501 кв. 10, Світловодськ, 46433",+380 52 140-82-92,tivasiuk@example.net
Рак,Устим,,Чоловік,1962-06-13,Гірничий інженер,село Балта,"шосе Аеропортівський 6-й, буд. 1, Алчевськ, 06480",+380 94 569-69-05,avreliidrobakha@example.org
Іваничук,Геннадій,,Чоловік,2005-05-09,Економіст,селище Сокиряни,"проспект 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 411, Путивль, 90374",947 15 95,viacheslav08@example.com
Черненко,Нестор,,Чоловік,1940-05-13,Дантист,село Гадяч,"шосе Виноградна 3-тя, буд. 46, Мукачево, 89518",073 360-65-00,teodor94@example.net
Авдєєнко,Тимофій,,Чоловік,1942-12-29,Детектив,селище Севастополь,"проспект Штильова, буд. 839 кв. 522, Макіївка, 88850",+380 33 069-21-14,martynhuzii@example.org
Кабалюк,Ілля,,Чоловік,1951-02-18,Футболіст,хутір Курахове,"сквер Декабристів, буд. 768, Яремче, 31260",027 722 85 79,zynovii78@example.net
Єфименко,Ілля,,Чоловік,1968-05-01,Електромонтажник,село Барвінкове,"шосе Виставочна, буд. 29, Білозерське, 18439",+380 20 076-90-86,ulytvyn@example.org
Чуйко,Герман,,Чоловік,1988-02-13,Публіцист,місто Одеса,"вулиця Виноградна, буд. 921 кв. 20, Павлоград, 81064",010 354-17-00,ohodunok@example.org
Рудик,Борислав,,Чоловік,1962-09-12,Сценарист,село Білогірськ,"шосе Краснослобідська, буд. 9, Борислав, 80058",761 16 81,ruslanmalyshko@example.net
Батюк,Олег,,Чоловік,1960-11-20,Будник,село Сокаль,"проспект Ванний, буд. 39, Мирноград, 71748",+380 06 076-81-62,iustynamalyk@example.org
Іщак,Мирон,,Чоловік,1986-06-17,Стоматолог,місто Гірник ,"набережна Кордонна, буд. 5 кв. 99, Старий Крим, 83742",185-82-73,vitrukanastasiia@example.org
Тесля,Демʼян,,Чоловік,1994-02-05,Диригент,хутір Ялта,"сквер Добровольського, буд. 789 кв. 35, Городище , 87166",+380 64 029 81 78,oartiukh@example.net
Чумак,Вʼячеслав,,Чоловік,1987-08-14,Лікар,село Первомайський ,"провулок Хімічний 1-й, буд. 86, Білопілля, 46368",039 037 73 18,bazylevskyibohodar@example.net
Пилипенко,Нестор,,Чоловік,1956-04-19,Кушнір,хутір Гнівань,"набережна ім. С.Ю. Вітте, буд. 77, Луганськ, 33075",133-15-20,kaleksiichuk@example.net
Байда,Теодор,,Чоловік,1942-05-22,Кухар,місто Сватове,"вулиця Перший Кришталевий, буд. 95 кв. 8, Монастириська, 46461",+380 (26) 165-23-69,vitalii61@example.com
Засядько,Зорян,,Чоловік,1957-11-21,Публіцист,місто Енергодар,"парк Восьмого Березня Лінія 3-тя, буд. 557, Покров, 24383",198 26 56,hordiikharchenko@example.net
Романчук,Степан,,Чоловік,1984-12-02,Піаніст,село Дніпрорудне,"площа Гранатний, буд. 41 кв. 690, Чуднів, 42571",+380 68 343-64-49,nataliia74@example.net
Савенко,Веніямин,,Чоловік,1971-01-16,Випробувач,хутір Хрустальний,"сквер Велика Садова, буд. 3 кв. 051, Носівка, 05873",+380 92 405-52-15,stepan64@example.org
Шахрай,Максим,,Чоловік,1943-03-11,Бібліотекар,селище Сулимівка (Слов'янськ),"сквер Левітана, буд. 3 кв. 217, Узин, 38447",+380 79 723-17-53,adam85@example.com
Данченко,Леон,,Чоловік,1971-02-26,Співак,хутір Острог,"узвіз Преображенська, буд. 838, Південне , 93660",+380 57 856 64 55,fhaida@example.com
Шамрай,Ігнат,,Чоловік,1996-05-03,Гінеколог,місто Маріуполь,"проспект Академіка Вільямса, буд. 611 кв. 3, Немирів, 61071",+380 (38) 151-40-20,atytarenko@example.org
Засуха,Костянтин,,Чоловік,1943-08-22,Перекладач,хутір Корець,"парк Розумовський 2-й, буд. 262 кв. 5, Боярка, 35394",+380 50 214 63 36,parmen57@example.com
Авраменко,Зорян,,Чоловік,1968-04-24,Сценарист,село Єнакієве,"площа Орловська, буд. 2 кв. 0, Сімферополь, 13517",586 67 41,ievhendankiv@example.org
Гайворонський,Єфрем,,Чоловік,1957-09-13,Електромонтер,хутір Красноград,"парк Горбатий міст, буд. 08, Алушта, 97513",+380 03 350-73-30,riabovilrostyslav@example.net
Джус,Тимофій,,Чоловік,2005-05-19,Нотаріус,село Кам'янка-Бузька,"набережна Трамвайна, буд. 145 кв. 8, Родинське, 25373",+380 22 679-46-14,viralupii@example.org
Абрамчук,Амвросій,,Чоловік,1980-07-09,Інженер,хутір Яготин,"сквер Байкал тупик, буд. 12 кв. 6, Ходорів, 08530",+380 (23) 170-86-83,sviatoslavatalan@example.org
Баранник,Варфоломій,,Чоловік,1952-02-13,Ріелтор,селище Ірміно,"шосе Пересипська 8-ма, буд. 41, Мирноград, 22605",095 358-78-96,datsenkovalentyna@example.org
Власенко,Болеслав,,Чоловік,1992-01-18,Вчитель,хутір Чорноморськ,"проспект Спартаківська, буд. 750 кв. 7, Південне , 04019",+380 33 390-32-75,izhakarsen@example.net
Зубко,Мирон,,Чоловік,1985-12-29,Бібліотекар,місто Миколаїв,"провулок Літакова, буд. 5, Вараш, 41764",019 694-51-76,iaremkivvarvara@example.com
Дутка,Едуард,,Чоловік,1981-08-07,Астроном,хутір Сокиряни,"вулиця 13-та Суворовська, буд. 8, Зоринськ, 51890",+380 (92) 032-71-51,omelian29@example.org
Щербань,Володимир,,Чоловік,1979-03-08,Біолог,селище Вижниця,"парк Якутська, буд. 5, Зимогір'я, 89217",+380 23 778-93-29,gfareniuk@example.com
Заруба,Олег,,Чоловік,1959-07-22,Складальник,селище Христинівка,"площа Самодіяльна, буд. 54, Дубно, 46637",+380 19 474 97 90,ishcherbak@example.net
Швайка,Ярема,,Чоловік,1997-12-01,Гицель,село Сміла,"набережна Наявний 5-й, буд. 298, Бердичів, 66820",040 850 00 60,sviatoslavandriievych@example.org
Симоненко,Леон,,Чоловік,1997-10-08,Електромонтер,хутір Синельникове,"провулок Каманіна, буд. 159 кв. 169, Чернігів, 71992",+380 59 487-83-40,cderhach@example.org
Василенко,Григорій,,Чоловік,1991-03-01,Футболіст,село Чернігів,"набережна Олександра Невського, буд. 71 кв. 22, Одеса, 38149",095 288-22-57,hartymyshyn@example.net
Рябовіл,Гліб,,Чоловік,1941-02-09,Кур'єр,село Вільнянськ,"проспект Безіменний, буд. 26 кв. 90, Кам'янка (Черкаська область), 78978",878 40 59,tereshchukaaron@example.net
Притула,Тарас,,Чоловік,1938-07-08,Дипломат,хутір Нова Одеса,"шосе Балтський 7-й, буд. 5 кв. 794, Дрогобич, 44167",+380 20 254-01-26,pdemydenko@example.net
Царенко,Веніямин,,Чоловік,1939-06-30,Правник,місто Великі Мости,"проспект Новоберегова, буд. 9, Суми, 29240",449-41-14,pavlykspas@example.com
Гречаник,Венедикт,,Чоловік,2002-03-29,Антрополог,хутір Красноперекопськ,"площа Заводська 2-га, буд. 30, Генічеськ, 29577",+380 84 138-94-12,vlokhbohdanna@example.com
Палій,Вʼячеслав,,Чоловік,1988-03-07,Гірничий інженер,хутір Жмеринка,"провулок Долинська, буд. 57, Кам'янське, 67155",034 476 55 41,wlevchenko@example.org
Саченко,Панас,,Чоловік,1985-01-28,Зоолог,хутір Виноградів,"проспект Асташкіна, буд. 4, Моршин, 58689",+380 33 629-59-82,liza56@example.com
Пушкар,Федір,,Чоловік,1984-09-24,Конструктор,хутір Кам'янка-Бузька,"площа Гранатна, буд. 5, Антрацит , 68031",+380 (31) 600-20-81,skybapanas@example.org
Дробаха,Макар,,Чоловік,1969-05-16,Фермер,місто Ковель,"узвіз Відважних, буд. 5 кв. 093, Бібрка, 70447",119 53 72,vasyl93@example.org
Гаврюшенко,Трохим,,Чоловік,1958-04-17,Державний службовець,хутір Судова Вишня,"парк Березова, буд. 9 кв. 85, Краматорськ, 51402",+380 24 588 62 35,isirko@example.com
Дробаха,Семен,,Чоловік,1945-01-04,Пекар,місто Вашківці,"вулиця Кришталева, буд. 91 кв. 659, Ківерці, 09627",+380 87 706 01 52,datsiukbohdanna@example.com
